year,state_abbrev,desforestation_km2,el_nino
2004,AC,728,True
2005,AC,592,True
2006,AC,398,True
2007,AC,184,True
2008,AC,254,True
2009,AC,167,True
2010,AC,259,True
2011,AC,280,True
2012,AC,305,True
2013,AC,221,False
2014,AC,309,True
2015,AC,264,True
2016,AC,372,True
2017,AC,257,True
2018,AC,444,True
2019,AC,688,True
2004,AM,1232,True
2005,AM,775,True
2006,AM,788,True
2007,AM,610,True
2008,AM,604,True
2009,AM,405,True
2010,AM,595,True
2011,AM,502,True
2012,AM,523,True
2013,AM,583,False
2014,AM,500,True
2015,AM,712,True
2016,AM,1129,True
2017,AM,1001,True
2018,AM,1045,True
2019,AM,1421,True
2004,AP,46,True
2005,AP,33,True
2006,AP,30,True
2007,AP,39,True
2008,AP,100,True
2009,AP,70,True
2010,AP,53,True
2011,AP,66,True
2012,AP,27,True
2013,AP,23,False
2014,AP,31,True
2015,AP,25,True
2016,AP,17,True
2017,AP,24,True
2018,AP,24,True
2019,AP,8,True
2004,MA,755,True
2005,MA,922,True
2006,MA,674,True
2007,MA,631,True
2008,MA,1271,True
2009,MA,828,True
2010,MA,712,True
2011,MA,396,True
2012,MA,269,True
2013,MA,403,False
2014,MA,257,True
2015,MA,209,True
2016,MA,258,True
2017,MA,265,True
2018,MA,253,True
2019,MA,215,True
2004,MT,11814,True
2005,MT,7145,True
2006,MT,4333,True
2007,MT,2678,True
2008,MT,3258,True
2009,MT,1049,True
2010,MT,871,True
2011,MT,1120,True
2012,MT,757,True
2013,MT,1139,False
2014,MT,1075,True
2015,MT,1601,True
2016,MT,1489,True
2017,MT,1561,True
2018,MT,1490,True
2019,MT,1685,True
2004,PA,8870,True
2005,PA,5899,True
2006,PA,5659,True
2007,PA,5526,True
2008,PA,5607,True
2009,PA,4281,True
2010,PA,3770,True
2011,PA,3008,True
2012,PA,1741,True
2013,PA,2346,False
2014,PA,1887,True
2015,PA,2153,True
2016,PA,2992,True
2017,PA,2433,True
2018,PA,2744,True
2019,PA,3862,True
2004,RO,3858,True
2005,RO,3244,True
2006,RO,2049,True
2007,RO,1611,True
2008,RO,1136,True
2009,RO,482,True
2010,RO,435,True
2011,RO,865,True
2012,RO,773,True
2013,RO,932,False
2014,RO,684,True
2015,RO,1030,True
2016,RO,1376,True
2017,RO,1243,True
2018,RO,1316,True
2019,RO,1245,True
2004,RR,311,True
2005,RR,133,True
2006,RR,231,True
2007,RR,309,True
2008,RR,574,True
2009,RR,121,True
2010,RR,256,True
2011,RR,141,True
2012,RR,124,True
2013,RR,170,False
2014,RR,219,True
2015,RR,156,True
2016,RR,202,True
2017,RR,132,True
2018,RR,195,True
2019,RR,617,True
2004,TO,158,True
2005,TO,271,True
2006,TO,124,True
2007,TO,63,True
2008,TO,107,True
2009,TO,61,True
2010,TO,49,True
2011,TO,40,True
2012,TO,52,True
2013,TO,74,False
2014,TO,50,True
2015,TO,57,True
2016,TO,58,True
2017,TO,31,True
2018,TO,25,True
2019,TO,21,True
