year,state_abbrev,firespots,el_nino
1999,AC,347,True
1999,AM,1048,True
1999,AP,101,True
1999,MA,4136,True
1999,MT,28538,True
1999,PA,20478,True
1999,RO,7121,True
1999,RR,220,True
1999,TO,869,True
2000,AC,430,True
2000,AM,857,True
2000,AP,253,True
2000,MA,4500,True
2000,MT,17242,True
2000,PA,18201,True
2000,RO,5505,True
2000,RR,362,True
2000,TO,818,True
2001,AC,829,True
2001,AM,1297,True
2001,AP,1300,True
2001,MA,7979,True
2001,MT,20795,True
2001,PA,28590,True
2001,RO,5062,True
2001,RR,2415,True
2001,TO,1408,True
2002,AC,7985,True
2002,AM,10203,True
2002,AP,3730,True
2002,MA,20848,True
2002,MT,79680,True
2002,PA,106849,True
2002,RO,39132,True
2002,RR,2845,True
2002,TO,2601,True
2003,AC,10523,True
2003,AM,10191,True
2003,AP,2516,True
2003,MA,12036,True
2003,MT,50713,True
2003,PA,53040,True
2003,RO,30533,True
2003,RR,3987,True
2003,TO,861,True
2004,AC,7271,True
2004,AM,8083,True
2004,AP,3413,True
2004,MA,11443,True
2004,MT,70422,True
2004,PA,74214,True
2004,RO,40824,True
2004,RR,2221,True
2004,TO,746,True
2005,AC,15993,True
2005,AM,15644,True
2005,AP,2020,True
2005,MA,10820,True
2005,MT,53489,True
2005,PA,71477,True
2005,RO,41641,True
2005,RR,1461,True
2005,TO,1175,True
2006,AC,6198,True
2006,AM,11697,True
2006,AP,1665,True
2006,MA,7885,True
2006,MT,32745,True
2006,PA,55840,True
2006,RO,25699,True
2006,RR,2189,True
2006,TO,504,True
2007,AC,8549,True
2007,AM,11293,True
2007,AP,1484,True
2007,MA,12329,True
2007,MT,52399,True
2007,PA,68491,True
2007,RO,27477,True
2007,RR,3244,True
2007,TO,1214,True
2008,AC,5699,True
2008,AM,6701,True
2008,AP,2153,True
2008,MA,7822,True
2008,MT,18602,True
2008,PA,48449,True
2008,RO,11549,True
2008,RR,1950,True
2008,TO,528,True
2009,AC,3511,True
2009,AM,9280,True
2009,AP,2456,True
2009,MA,6664,True
2009,MT,9970,True
2009,PA,41664,True
2009,RO,5396,True
2009,RR,2359,True
2009,TO,382,True
2010,AC,8661,True
2010,AM,12139,True
2010,AP,1000,True
2010,MA,7298,True
2010,MT,28362,True
2010,PA,57196,True
2010,RO,16924,True
2010,RR,1918,True
2010,TO,1116,True
2011,AC,3191,True
2011,AM,5028,True
2011,AP,1396,True
2011,MA,4976,True
2011,MT,9103,True
2011,PA,26563,True
2011,RO,6078,True
2011,RR,1475,True
2011,TO,376,True
2012,AC,4720,True
2012,AM,9114,True
2012,AP,2518,True
2012,MA,6919,True
2012,MT,16133,True
2012,PA,37221,True
2012,RO,8312,True
2012,RR,1376,True
2012,TO,406,True
2013,AC,4980,False
2013,AM,6512,False
2013,AP,1529,False
2013,MA,4418,False
2013,MT,10830,False
2013,PA,24046,False
2013,RO,4613,False
2013,RR,1395,False
2013,TO,365,False
2014,AC,4398,True
2014,AM,9008,True
2014,AP,1848,True
2014,MA,5733,True
2014,MT,15677,True
2014,PA,35526,True
2014,RO,7327,True
2014,RR,2519,True
2014,TO,518,True
2015,AC,5779,True
2015,AM,13419,True
2015,AP,2936,True
2015,MA,7475,True
2015,MT,17599,True
2015,PA,43164,True
2015,RO,13105,True
2015,RR,2452,True
2015,TO,509,True
2016,AC,7684,True
2016,AM,11173,True
2016,AP,2595,True
2016,MA,4928,True
2016,MT,15836,True
2016,PA,29724,True
2016,RO,11462,True
2016,RR,3870,True
2016,TO,489,True
2017,AC,6295,True
2017,AM,11685,True
2017,AP,1946,True
2017,MA,5896,True
2017,MT,18143,True
2017,PA,49770,True
2017,RO,11298,True
2017,RR,1565,True
2017,TO,841,True
2018,AC,6626,True
2018,AM,11446,True
2018,AP,1206,True
2018,MA,2449,True
2018,MT,11621,True
2018,PA,22080,True
2018,RO,10253,True
2018,RR,2383,True
2018,TO,281,True
2019,AC,6802,True
2019,AM,12665,True
2019,AP,1272,True
2019,MA,3989,True
2019,MT,17479,True
2019,PA,29700,True
2019,RO,11206,True
2019,RR,4775,True
2019,TO,247,True
